,X,Y,name,com_insee,com_nom,Type,Type_détaillé,geometry,0
420,2.456115,48.852256999729,Missing,94033,Fontenay-sous-Bois,library,Dépôt à livres,POINT (2.456115 48.852256999729),[14406 14407 14532 14533 14658]
421,2.1670611,48.993312399694,BM Herblay,95306,Herblay-sur-Seine,library,Bibliothèque,POINT (2.1670611 48.993312399694),[10358 10359 10484 10485]
422,2.6723389,48.7644430997508,Missing,77350,Ozoir-la-Ferrière,library,Dépôt à livres,POINT (2.6723389 48.7644430997508),[17440 17566 17567 17692]
423,2.6331534,48.5336717998079,annexe bibliothèque,77285,Le Mée-sur-Seine,library,Bibliothèque,POINT (2.6331534 48.5336717998079),[16836 16961 16962 17087 17088]
424,2.360767,48.8287275997348,Boîte à lire,75056,Paris,library,Dépôt à livres,POINT (2.360767 48.8287275997348),[13023 13148 13149 13275]
425,2.4199498,48.8056752997405,Missing,94002,Alfortville,library,Dépôt à livres,POINT (2.4199498 48.8056752997405),[13907 13908 14033 14034]
426,2.9082109,48.8580698997275,Missing,77142,Crécy-la-Chapelle,library,Bibliothèque,POINT (2.9082109 48.8580698997275),[20705 20706 20831 20832 20957 20958]
427,2.2858546,48.9675470997004,Médiathèque Théodore Monod,95555,Saint-Gratien,library,Médiathèque,POINT (2.2858546 48.9675470997004),[11999 12000 12125 12126 12251]
428,2.2663839,48.7221646997612,Boîte à Livres,91377,Massy,library,Dépôt à livres,POINT (2.2663839 48.7221646997612),[11774 11775 11900 11901 12027]
429,1.8104846,48.9911115996945,Médiathèque Paul Valéry,78267,Gargenville,library,Médiathèque,POINT (1.8104846 48.9911115996945),[5318 5319 5444 5445 5571]
430,3.1879994,48.3984897998412,Missing,77025,Bazoches-lès-Bray,library,Bibliothèque,POINT (3.1879994 48.3984897998412),[24663 24788 24789 24915]
431,2.2180487,48.4923285998181,Missing,91038,Auvers-Saint-Georges,library,Dépôt à livres,POINT (2.2180487 48.4923285998181),[11044 11170 11171 11296 11297]
432,2.35739,48.6534799997783,Missing,91434,Morsang-sur-Orge,library,Dépôt à livres,POINT (2.35739 48.6534799997783),[13042 13043 13168 13169 13294]
433,2.3483316,48.6525606997785,Missing,91434,Morsang-sur-Orge,library,Dépôt à livres,POINT (2.3483316 48.6525606997785),[12916 12917 13042 13043]
434,2.3479468,48.6480568997796,Missing,91434,Morsang-sur-Orge,library,Dépôt à livres,POINT (2.3479468 48.6480568997796),[12917 13043 13169]
435,2.2051418,49.0406141996823,Boîte à livres,95060,Bessancourt,library,Dépôt à livres,POINT (2.2051418 49.0406141996823),[10857 10858 10983 10984 11109]
436,2.2697511,48.6368451997824,Missing,91425,Montlhéry,library,Dépôt à livres,POINT (2.2697511 48.6368451997824),[11784 11785 11910 11911 12036]
437,2.2720194,48.6389257997819,bibliothèque municipale,91425,Montlhéry,library,Bibliothèque,POINT (2.2720194 48.6389257997819),[11784 11910 11911 12036]
438,2.1993484,48.6976719997673,Missing,91471,Orsay,library,Dépôt à livres,POINT (2.1993484 48.6976719997673),[10769 10770 10895 10896 11021 11022]
439,2.3192196,48.6492835997793,Missing,91549,Sainte-Geneviève-des-Bois,library,Dépôt à livres,POINT (2.3192196 48.6492835997793),[12413 12538 12539 12664 12665]
440,2.3190406,48.6355939997827,Missing,91570,Saint-Michel-sur-Orge,library,Dépôt à livres,POINT (2.3190406 48.6355939997827),[12540 12541 12666 12667]
441,2.4423044,48.8618258997266,Bibliothèque éphémère,93048,Montreuil,library,Bibliothèque,POINT (2.4423044 48.8618258997266),[14153 14279 14280 14405 14406]
442,2.381237,48.4376803998315,Bibliothèque Municipale,91099,Boutigny-sur-Essonne,library,Bibliothèque,POINT (2.381237 48.4376803998315),[13318 13444 13445 13570 13571]
443,2.3260417,48.7977210997425,Boîte à lire,94016,Cachan,library,Dépôt à livres,POINT (2.3260417 48.7977210997425),[12522 12648 12649 12774 12775]
444,1.6830751,49.0000447996923,Médiathèque Louis Aragon,78361,Mantes-la-Jolie,library,Médiathèque,POINT (1.6830751 49.0000447996923),[3553 3554 3679 3680 3806]
445,1.8188229,48.6454596997802,Missing,78517,Rambouillet,library,Dépôt à livres,POINT (1.8188229 48.6454596997802),[5483 5484 5609 5610 5735]
446,2.3387288,48.7868697997452,Boîte à lire,94016,Cachan,library,Dépôt à livres,POINT (2.3387288 48.7868697997452),[12775 12776 12901 12902]
447,2.3293381,48.7860332997454,Missing,94016,Cachan,library,Dépôt à livres,POINT (2.3293381 48.7860332997454),[12649 12650 12775 12776]
448,2.5991053,48.7822358997463,Médiathèque Pierre-Thiriot,77373,Pontault-Combault,library,Médiathèque,POINT (2.5991053 48.7822358997463),[16430 16431 16556 16557 16682]
449,2.4259357,48.7862042997453,Médiathèque Île Saint-Pierre,94002,Alfortville,library,Médiathèque,POINT (2.4259357 48.7862042997453),[13910 14035 14036 14161 14162]
450,2.2412743,48.900342199717,Missing,92026,Courbevoie,library,Dépôt à livres,POINT (2.2412743 48.900342199717),[11377 11502 11503 11629]
451,2.2326979,48.8984363997175,Missing,92026,Courbevoie,library,Dépôt à livres,POINT (2.2326979 48.8984363997175),[11251 11252 11377 11378 11503]
452,2.3342349,48.7938631997434,Missing,94016,Cachan,library,Dépôt à livres,POINT (2.3342349 48.7938631997434),[12649 12774 12775 12900 12901]
453,2.3913182,48.9257327997108,Médiathèque Aimé Césaire,93027,La Courneuve,library,Médiathèque,POINT (2.3913182 48.9257327997108),[13390 13516 13517 13642 13643]
454,2.4695441,48.8760450997231,Médiathèque Marguerite Yourcenar,93064,Rosny-sous-Bois,library,Médiathèque,POINT (2.4695441 48.8760450997231),[14529 14530 14655 14656 14781 14782]
455,2.2663875,48.6317414997836,Missing,91339,Linas,library,Dépôt à livres,POINT (2.2663875 48.6317414997836),[11784 11785 11910 11911 12037]
456,2.1429949,48.8113071997391,Missing,78646,Versailles,library,Dépôt à livres,POINT (2.1429949 48.8113071997391),[10001 10126 10127 10253]
457,1.8570646,48.6474425997798,Missing,78517,Rambouillet,library,Dépôt à livres,POINT (1.8570646 48.6474425997798),[5987 6113 6114 6239]
458,2.3332419,48.7948466997432,Boîte à lire,94016,Cachan,library,Dépôt à livres,POINT (2.3332419 48.7948466997432),[12648 12649 12774 12775 12900 12901]
