,X,Y,ATM/Agence,com_insee,com_nom,Type,Type_détaillé,geometry,0
3917,2.5043876,48.8154878997381,atm,94017,Champigny-sur-Marne,banque,,POINT (2.5043876 48.8154878997381),[15040 15041 15166 15167 15292 15293]
3918,2.5843348,48.8748271997234,atm,77108,Chelles,banque,,POINT (2.5843348 48.8748271997234),[16167 16168 16293 16294 16420]
3919,2.5830826,48.8753116997232,atm,77108,Chelles,banque,LCL,POINT (2.5830826 48.8753116997232),[16167 16168 16293 16294 16420]
3920,2.5830737,48.8753054997232,atm,77108,Chelles,banque,LCL,POINT (2.5830737 48.8753054997232),[16167 16168 16293 16294 16420]
3921,2.5789725,48.872414699724,atm,77108,Chelles,banque,Crédit Agricole,POINT (2.5789725 48.872414699724),[16042 16168 16169 16294]
3922,2.5792525,48.8726088997239,atm,77108,Chelles,banque,Crédit Mutuel,POINT (2.5792525 48.8726088997239),[16042 16168 16294]
3923,2.5961126,48.8759524997231,atm,77108,Chelles,banque,Crédit Agricole,POINT (2.5961126 48.8759524997231),[16294 16419 16420 16545 16546]
3924,2.5960256,48.8759279997231,bank,77108,Chelles,banque,Crédit Agricole,POINT (2.5960256 48.8759279997231),[16294 16419 16420 16545 16546]
3925,2.594417,48.8754456997232,atm,77108,Chelles,banque,LCL,POINT (2.594417 48.8754456997232),[16293 16294 16419 16420 16545 16546]
3926,2.2556859,48.9238843997112,bank,92025,Colombes,banque,,POINT (2.2556859 48.9238843997112),[11500 11626 11627 11752 11753]
3927,2.2556326,48.9238859997112,atm,92025,Colombes,banque,,POINT (2.2556326 48.9238859997112),[11500 11626 11627 11752 11753]
3928,2.5876012,48.8784844997225,atm,77108,Chelles,banque,Banque Postale,POINT (2.5876012 48.8784844997225),[16167 16293 16294 16419 16420]
3929,2.58761,48.8784903997225,atm,77108,Chelles,banque,Banque Postale,POINT (2.58761 48.8784903997225),[16167 16293 16294 16419 16420]
3930,2.5872825,48.8783048997225,atm,77108,Chelles,banque,BRED/Banque populaire,POINT (2.5872825 48.8783048997225),[16167 16293 16294 16419 16420]
3931,2.5870473,48.8783942997225,atm,77108,Chelles,banque,Société Générale,POINT (2.5870473 48.8783942997225),[16167 16293 16294 16419 16420]
3932,2.5861528,48.8774820997227,atm,77108,Chelles,banque,Crédit Agricole,POINT (2.5861528 48.8774820997227),[16167 16168 16293 16294 16419 16420]
3933,2.5858527,48.8775662997227,atm,77108,Chelles,banque,CIC,POINT (2.5858527 48.8775662997227),[16167 16168 16293 16294 16419 16420]
3934,2.5855978,48.8773756997227,atm,77108,Chelles,banque,Caisse d'Epargne,POINT (2.5855978 48.8773756997227),[16167 16168 16293 16294 16419 16420]
3935,2.5525108,48.8483087997299,bank,93051,Noisy-le-Grand,banque,LCL,POINT (2.5525108 48.8483087997299),[15667 15792 15793 15918 15919]
3936,2.4828701,48.9024712997165,bank,93010,Bondy,banque,Caisse d'Epargne,POINT (2.4828701 48.9024712997165),[14778 14779 14904 14905 15031]
3937,2.4820361,48.912749599714,atm,93010,Bondy,banque,,POINT (2.4820361 48.912749599714),[14777 14778 14903 14904]
3938,2.5677022,48.8290148997347,bank,93051,Noisy-le-Grand,banque,BRED/Banque populaire,POINT (2.5677022 48.8290148997347),[15921 16046 16047 16173]
3939,2.5670705,48.8303859997344,atm,93051,Noisy-le-Grand,banque,Banque Postale,POINT (2.5670705 48.8303859997344),[15920 15921 16046 16047 16172 16173]
3940,2.5518174,48.8488112997298,bank,93051,Noisy-le-Grand,banque,BNP Paribas,POINT (2.5518174 48.8488112997298),[15667 15792 15793 15918 15919]
3941,2.3151235,48.8813673997217,bank,75056,Paris,banque,BNP Paribas,POINT (2.3151235 48.8813673997217),[12387 12513 12514 12639]
3942,2.3162341,48.8810817997218,bank,75056,Paris,banque,LCL,POINT (2.3162341 48.8810817997218),[12387 12513 12514 12639]
3943,2.3151329,48.8813249997218,atm,75056,Paris,banque,BNP Paribas,POINT (2.3151329 48.8813249997218),[12387 12513 12514 12639]
3944,2.5528353,48.8468789997303,bank,93051,Noisy-le-Grand,banque,,POINT (2.5528353 48.8468789997303),[15667 15792 15793 15918 15919]
3945,2.5533644,48.8469041997303,bank,93051,Noisy-le-Grand,banque,LCL,POINT (2.5533644 48.8469041997303),[15667 15792 15793 15918 15919]
3946,2.3156839,48.8786151997224,bank,75056,Paris,banque,LCL,POINT (2.3156839 48.8786151997224),[12387 12388 12513 12514 12639 12640]
3947,2.3157093,48.8785086997225,atm,75056,Paris,banque,,POINT (2.3157093 48.8785086997225),[12387 12388 12513 12514 12639 12640]
3948,2.5299306,48.8458344997306,bank,93051,Noisy-le-Grand,banque,,POINT (2.5299306 48.8458344997306),[15415 15541 15542 15667]
3949,2.432427,48.8016872997415,bank,94046,Maisons-Alfort,banque,CIC,POINT (2.432427 48.8016872997415),[14034 14159 14160 14286]
3950,2.4323237,48.8015980997415,bank,94046,Maisons-Alfort,banque,Crédit Agricole,POINT (2.4323237 48.8015980997415),[14034 14159 14160 14286]
3951,2.5303011,48.795834399743,bank,94019,Chennevières-sur-Marne,banque,Crédit Mutuel,POINT (2.5303011 48.795834399743),[15420 15421 15546 15547 15672 15673]
3952,2.5303678,48.7962336997429,bank,94019,Chennevières-sur-Marne,banque,CIC,POINT (2.5303678 48.7962336997429),[15420 15421 15546 15547 15672 15673]
3953,2.5312979,48.7965954997428,bank,94019,Chennevières-sur-Marne,banque,Caisse d'Epargne,POINT (2.5312979 48.7965954997428),[15420 15421 15546 15547 15672 15673]
3954,2.5509005,48.8058847997405,bank,94017,Champigny-sur-Marne,banque,Caisse d'Epargne,POINT (2.5509005 48.8058847997405),[15671 15672 15797 15798 15923 15924]
3955,2.53385,48.7905700997443,bank,94055,Ormesson-sur-Marne,banque,Caisse d'Epargne,POINT (2.53385 48.7905700997443),[15421 15547 15548 15673 15674]
3956,2.5315896,48.7965605997428,bank,94019,Chennevières-sur-Marne,banque,LCL,POINT (2.5315896 48.7965605997428),[15420 15421 15546 15547 15672 15673]
3957,2.0629477,48.8008206997417,atm,78545,Saint-Cyr-l'École,banque,,POINT (2.0629477 48.8008206997417),[8868 8994 8995 9120]
3958,2.0630333,48.8007929997417,atm,78545,Saint-Cyr-l'École,banque,,POINT (2.0630333 48.8007929997417),[8868 8994 8995 9120]
3959,2.0626249,48.8010792997417,atm,78545,Saint-Cyr-l'École,banque,,POINT (2.0626249 48.8010792997417),[8868 8993 8994 9120]
3960,2.0634402,48.8005466997418,atm,78545,Saint-Cyr-l'École,banque,,POINT (2.0634402 48.8005466997418),[8868 8994 8995 9120]
3961,2.5352059,48.7898725997444,bank,94055,Ormesson-sur-Marne,banque,Crédit Mutuel,POINT (2.5352059 48.7898725997444),[15421 15547 15548 15673 15674]
3962,2.5361818,48.7888239997447,bank,94055,Ormesson-sur-Marne,banque,,POINT (2.5361818 48.7888239997447),[15547 15548 15673 15674]
3963,2.6271178,48.8798775997221,bank,77055,Brou-sur-Chantereine,banque,Crédit Agricole,POINT (2.6271178 48.8798775997221),[16797 16798 16923 16924 17049]
3964,2.6270977,48.8798981997221,atm,77055,Brou-sur-Chantereine,banque,Crédit Agricole,POINT (2.6270977 48.8798981997221),[16797 16798 16923 16924 17049]
